grid_x,grid_y,police_count,center_lon,center_lat
1408888,417547,1,126.79996500000001,37.579275
1408980,417359,1,126.80824500000001,37.562355000000004
1409052,417553,1,126.81472500000001,37.579815
1409158,417413,1,126.82426500000001,37.567215000000004
1409178,417215,1,126.82606500000001,37.549395000000004
1409229,417100,1,126.83065500000001,37.539045
1409247,417022,1,126.83227500000001,37.532025000000004
1409271,416894,1,126.83443500000001,37.520505
1409273,417072,1,126.83461500000001,37.536525000000005
1409279,417163,1,126.83515500000001,37.544715000000004
1409320,416609,1,126.838845,37.494855
1409361,416487,1,126.84253500000001,37.483875000000005
1409393,417153,1,126.845415,37.543815
1409395,416992,1,126.845595,37.529325
1409445,417237,2,126.85009500000001,37.551375
1409445,417325,1,126.85009500000001,37.559295000000006
1409477,416644,1,126.85297500000001,37.498005
1409487,416509,1,126.853875,37.485855
1409499,416832,1,126.854955,37.514925000000005
1409516,416575,1,126.856485,37.491795
1409536,416740,1,126.85828500000001,37.506645
1409564,416892,1,126.86080500000001,37.520325
1409576,417164,1,126.861885,37.544805000000004
1409581,417161,1,126.862335,37.544535
1409595,416938,1,126.863595,37.524465
1409617,416851,1,126.865575,37.516635
1409637,417243,1,126.86737500000001,37.551915
1409654,416794,1,126.86890500000001,37.511505
1409724,416568,1,126.87520500000001,37.491165
1409760,417057,1,126.87844500000001,37.535175
1409784,416753,1,126.880605,37.507815
1409815,416570,1,126.88339500000001,37.491345
1409821,416691,1,126.88393500000001,37.502235
1409846,416610,1,126.88618500000001,37.494945
1409867,416442,1,126.88807500000001,37.479825000000005
1409885,416919,1,126.889695,37.522755000000004
1409896,416547,1,126.890685,37.489275
1409904,416518,1,126.891405,37.486665
1409918,416435,1,126.89266500000001,37.479195000000004
1409931,417536,1,126.89383500000001,37.578285
1409938,416304,1,126.89446500000001,37.467405
1409962,416655,1,126.89662500000001,37.498995
1409965,416189,1,126.89689500000001,37.457055000000004
1409974,416817,1,126.897705,37.513575
1409985,416593,1,126.898695,37.493415
1409998,416158,1,126.899865,37.454265
1410007,416959,1,126.900675,37.526355
1410014,417040,1,126.90130500000001,37.533645
1410029,416064,1,126.90265500000001,37.445805
1410030,417270,1,126.90274500000001,37.554345000000005
1410038,416328,1,126.90346500000001,37.469565
1410041,417351,1,126.90373500000001,37.561635
1410046,416172,1,126.90418500000001,37.455525
1410052,416772,1,126.90472500000001,37.509525000000004
1410059,417687,1,126.90535500000001,37.591875
1410066,416518,1,126.905985,37.486665
1410083,416866,1,126.907515,37.517985
1410086,416674,1,126.907785,37.500705
1410098,416838,1,126.908865,37.515465
1410100,417429,1,126.909045,37.568655
1410117,417569,1,126.91057500000001,37.581255000000006
1410139,416122,1,126.91255500000001,37.451025
1410141,417946,1,126.91273500000001,37.615185000000004
1410142,416656,1,126.91282500000001,37.499085
1410148,417242,1,126.91336500000001,37.551825
1410157,416525,1,126.91417500000001,37.487295
1410167,417828,1,126.915075,37.604565
1410173,416443,1,126.915615,37.479915000000005
1410194,417672,1,126.917505,37.590525
1410199,417827,1,126.917955,37.604475
1410213,416234,1,126.91921500000001,37.461105
1410228,416650,1,126.92056500000001,37.498545
1410232,418221,1,126.92092500000001,37.639935
1410236,417801,1,126.92128500000001,37.602135000000004
1410263,417337,1,126.923715,37.560375
