OBJT_ID,POLICE,POLCSTTN,FCLTY_TY,FCLTY_CD,FCLTY_NM,ADRES,RN_ADRES,TELNO,CTPRVN_CD,SGG_CD,X,Y
1,본청,null,지방청,510000,본청,null,서울 서대문구 통일로 97 경찰청,null,11,11410,14133994.1382,4517858.29691
2,서울특별시경찰청,null,지방청,510000,서울특별시경찰청,null,서울시 종로구 사직로8길 31,null,11,11110,14134453.1307,4519561.59895
3,서울특별시경찰청,null,경찰서,510010,서울강남경찰서,null,서울시 강남구 테헤란로 114길 11,null,11,11680,14145045.9595,4510321.54401
4,서울특별시경찰청,null,경찰서,510010,서울강동경찰서,null,서울시 강동구 성내로 57,null,11,11740,14151701.6405,4513055.3379
5,서울특별시경찰청,null,경찰서,510010,서울강북경찰서,null,서울시 강북구 오패산로 406,null,11,11305,14140599.6921,4528317.78904
6,서울특별시경찰청,null,경찰서,510010,서울강서경찰서,null,서울시 강서구 화곡로 308,null,11,11500,14120888.2608,4516241.62503
7,서울특별시경찰청,null,경찰서,510010,서울관악경찰서,null,서울시 관악구 관악로5길 33,null,11,11620,14132119.8853,4505437.93499
8,서울특별시경찰청,null,경찰서,510010,서울광진경찰서,null,서울시 광진구 자양로 167,null,11,11215,14146915.2141,4515053.71034
9,서울특별시경찰청,null,경찰서,510010,서울구로경찰서,null,서울시 구로구 가마산로 235,null,11,11530,14124907.3174,4508317.64826
10,서울특별시경찰청,null,경찰서,510010,서울금천경찰서,null,서울시 금천구 시흥대로73길 50,null,11,11545,14126099.6716,4503013.2787
11,서울특별시경찰청,null,경찰서,510010,서울남대문경찰서,null,서울시 중구 한강대로 410,null,11,11140,14134630.1732,4516725.2706
12,서울특별시경찰청,null,경찰서,510010,서울노원경찰서,null,서울시 노원구 노원로 283,null,11,11350,14145512.0208,4528996.03883
13,서울특별시경찰청,null,경찰서,510010,서울도봉경찰서,null,서울시 도봉구 노해로 403,null,11,11320,14143400.5239,4530622.93821
14,서울특별시경찰청,null,경찰서,510010,서울동대문경찰서,null,서울시 동대문구 약령시로21길 29,null,11,11230,14142671.8599,4520980.13586
15,서울특별시경찰청,null,경찰서,510010,서울동작경찰서,null,서울시 동작구 노량진로 148,null,11,11590,14131202.4903,4510833.32081
16,서울특별시경찰청,null,경찰서,510010,서울마포경찰서,null,서울시 마포구 마포대로 183,null,11,11440,14132446.1405,4516215.25572
17,서울특별시경찰청,null,경찰서,510010,서울방배경찰서,null,서울시 서초구 동작대로 204,null,11,11650,14135716.3286,4508287.5247
18,서울특별시경찰청,null,경찰서,510010,서울서대문경찰서,null,서울 서대문구 통일로 113,null,11,11410,14133873.9354,4518134.08384
19,서울특별시경찰청,null,경찰서,510010,서울서부경찰서,null,서울시 은평구 진흥로 58,null,11,11380,14128814.2085,4523368.85601
20,서울특별시경찰청,null,경찰서,510010,서울서초경찰서,null,서울시 서초구 반포대로 179,null,11,11650,14138149.461,4508433.73775
21,서울특별시경찰청,null,경찰서,510010,서울성동경찰서,null,서울시 성동구 왕십리광장로 9,null,11,11200,14141626.4474,4517701.79899
22,서울특별시경찰청,null,경찰서,510010,서울성북경찰서,null,서울 성북구 보문로 170,null,11,11290,14139413.2935,4521626.10392
23,서울특별시경찰청,null,경찰서,510010,서울송파경찰서,null,서울시 송파구 중대로 221,null,11,11710,14151734.3017,4509248.01384
24,서울특별시경찰청,null,경찰서,510010,서울수서경찰서,null,서울시 강남구 개포로 617,null,11,11680,14146161.5144,4508132.64295
25,서울특별시경찰청,null,경찰서,510010,서울양천경찰서,null,서울시 양천구 목동동로 99,null,11,11470,14122612.3548,4511362.58169
26,서울특별시경찰청,null,경찰서,510010,서울영등포경찰서,null,서울시 영등포구 국회대로 608,null,11,11560,14126517.7097,4512729.44812
27,서울특별시경찰청,null,경찰서,510010,서울용산경찰서,null,서울시 용산구 원효로89길 24,null,11,11170,14133972.0635,4514807.7116
28,서울특별시경찰청,null,경찰서,510010,서울은평경찰서,null,서울시 은평구 연서로 365,null,11,11380,14129627.4419,4527021.15798
29,서울특별시경찰청,null,경찰서,510010,서울종로경찰서,null,서울시 종로구 인사동5길41,null,11,11110,14135813.889,4519119.60616
30,서울특별시경찰청,null,경찰서,510010,서울종암경찰서,null,서울시 성북구 종암로 135,null,11,11290,14141160.9872,4523402.69028
31,서울특별시경찰청,null,경찰서,510010,서울중랑경찰서,null,서울시 중랑구 신내역로3길 40-10,null,11,11260,14149203.197,4525635.31934
32,서울특별시경찰청,null,경찰서,510010,서울중부경찰서,null,서울시 중구 수표로 27,null,11,11140,14136463.9169,4517963.69278
33,서울특별시경찰청,null,경찰서,510010,서울혜화경찰서,null,서울시 종로구 창경궁로 112-16,null,11,11110,14137435.4021,4519150.99688
34,부산광역시경찰청,null,지방청,510000,부산광역시경찰청,null,부산 연제구 중앙대로 999,null,26,26470,14368435.3458,4188253.11211
35,부산광역시경찰청,null,경찰서,510010,부산강서경찰서,null,부산 강서구 명지국제1로 305,null,26,26440,14349852.516,4179755.32194
36,부산광역시경찰청,null,경찰서,510010,부산금정경찰서,null,부산 금정구 중앙대로 1819,null,26,26410,14370433.1856,4197497.57541
37,부산광역시경찰청,null,경찰서,510010,부산남부경찰서,null,부산 남구 황령대로319번가길 81,null,26,26290,14370747.9748,4184046.02181
38,부산광역시경찰청,null,경찰서,510010,부산동래경찰서,null,부산 동래구 명륜로 70,null,26,26260,14369654.7061,4191148.46204
39,부산광역시경찰청,null,경찰서,510010,부산동부경찰서,null,부산 동구 중앙대로 387,null,26,26170,14365684.964,4181563.26732
40,부산광역시경찰청,null,경찰서,510010,부산진경찰서,null,부산 부산진구 부전로111번길 6,null,26,26230,14366267.0647,4185685.17008
41,부산광역시경찰청,null,경찰서,510010,부산북부경찰서,null,부산 북구 화명신도시로 63,null,26,26320,14361228.6889,4195175.18698
42,부산광역시경찰청,null,경찰서,510010,부산사상경찰서,null,부산 사상구 학감대로 264,null,26,26530,14359267.5512,4184875.01466
43,부산광역시경찰청,null,경찰서,510010,부산사하경찰서,null,부산 사하구 을숙도대로 665,null,26,26380,14357807.6295,4175519.45914
44,부산광역시경찰청,null,경찰서,510010,부산서부경찰서,null,부산 서구 대영로 16,null,26,26140,14361693.5591,4178804.09068
45,부산광역시경찰청,null,경찰서,510010,부산영도경찰서,null,부산 영도구 태종로 46,null,26,26200,14364291.667,4176644.3774
46,부산광역시경찰청,null,경찰서,510010,부산연제경찰서,null,부산 연제구 토곡로 26,null,26,26470,14371885.3038,4188794.60882
47,부산광역시경찰청,null,경찰서,510010,부산중부경찰서,null,부산 중구 중앙대로 105,null,26,26110,14364177.4754,4178469.3284
48,부산광역시경찰청,null,경찰서,510010,부산해운대경찰서,null,부산 해운대구 해운대로 129,null,26,26350,14373749.6381,4189165.28743
49,부산광역시경찰청,null,경찰서,510010,부산기장경찰서,null,부산 기장군 일광면 기장대로 692,null,26,26710,14385262.4,4198780.98289
50,대구광역시경찰청,null,지방청,510000,대구광역시경찰청,null,대구 수성구 무학로 227,null,27,27260,14319475.3083,4277197.53503
51,대구광역시경찰청,null,경찰서,510010,대구남부경찰서,null,대구 남구 대명로 249,null,27,27200,14313876.5835,4279038.24236
52,대구광역시경찰청,null,경찰서,510010,대구달서경찰서,null,대구 달서구 학산로 55,null,27,27290,14308296.0818,4277321.43738
53,대구광역시경찰청,null,경찰서,510010,대구달성경찰서,null,대구 달성군 현풍읍 테크노대로 36,null,27,27710,14299085.7854,4257886.05098
54,대구광역시경찰청,null,경찰서,510010,대구동부경찰서,null,대구 동구 반야월북로 209,null,27,27140,14329090.4959,4283260.62706
55,대구광역시경찰청,null,경찰서,510010,대구북부경찰서,null,대구 북구 원대로 100,null,27,27230,14313799.6506,4284970.3309
56,대구광역시경찰청,null,경찰서,510010,군위경찰서,null,대구 군위군 군위읍 중앙길 74,null,27,27720,14312000.0264,4333007.33531
57,대구광역시경찰청,null,경찰서,510010,대구서부경찰서,null,대구 서구 국채보상로 249,null,27,27170,14311019.0011,4282959.53806
58,대구광역시경찰청,null,경찰서,510010,대구수성경찰서,null,대구 수성구 달구벌대로 2460,null,27,27260,14319222.1678,4281135.25446
59,대구광역시경찰청,null,경찰서,510010,대구중부경찰서,null,대구 중구 경상감영길 55,null,27,27110,14314669.2451,4282981.3395
60,대구광역시경찰청,null,경찰서,510010,대구성서경찰서,null,대구 달서구 달구벌대로259길 15,null,27,27290,14305525.2952,4280454.1197
61,대구광역시경찰청,null,경찰서,510010,대구강북경찰서,null,대구 북구 동암로 130,null,27,27230,14311848.7988,4292834.95031
62,인천광역시경찰청,null,지방청,510000,인천광역시경찰청,null,인천 남동구 예술로152번길 9,null,28,28200,14104386.4487,4501824.40899
63,인천광역시경찰청,null,경찰서,510010,인천강화경찰서,null,인천 강화군 강화읍 동문안길 17,null,28,28710,14080415.9337,4543889.67242
64,인천광역시경찰청,null,경찰서,510010,인천계양경찰서,null,인천 계양구 계산새로 68,null,28,28245,14108091.6957,4514319.46573
65,인천광역시경찰청,null,경찰서,510010,인천남동경찰서,null,인천 남동구 남동대로 668,null,28,28200,14104994.1307,4500901.69823
66,인천광역시경찰청,null,경찰서,510010,인천미추홀경찰서,null,인천 미추홀구 매소홀로290번길 32,null,28,28177,14099029.8773,4501009.854
67,인천광역시경찰청,null,경찰서,510010,인천부평경찰서,null,인천 부평구 길주로 511,null,28,28237,14106336.0983,4510122.24579
68,인천광역시경찰청,null,경찰서,510010,인천서부경찰서,null,인천 서구 탁옥로 77,null,28,28260,14101743.7574,4515289.26917
69,인천광역시경찰청,null,경찰서,510010,인천연수경찰서,null,인천 연수구 원인재로 138,null,28,28185,14102061.953,4496469.32258
70,인천광역시경찰청,null,경찰서,510010,인천중부경찰서,null,인천 중구 제물량로 237,null,28,28110,14095014.1268,4505251.3394
71,인천광역시경찰청,null,경찰서,510010,인천삼산경찰서,null,인천 부평구 굴포로 104,null,28,28237,14107774.5799,4510543.88907
72,인천광역시경찰청,null,경찰서,510010,인천논현경찰서,null,인천 남동구 논현고잔로 239,null,28,28200,14105883.1838,4495549.9973
73,인천광역시경찰청,null,경찰서,510010,인천국제공항경찰단,null,인천 중구 공항로 272,null,28,28110,14075621.214,4503805.05919
74,광주광역시경찰청,null,지방청,510000,광주광역시경찰청,null,광주 광산구 용아로 112,null,29,29200,14115367.1369,4184796.89017
75,광주광역시경찰청,null,경찰서,510010,광주광산경찰서,null,광주 광산구 어등대로 551,null,29,29200,14113393.1974,4184664.82318
